giflib 6.1.3-2.1
git 2.55.0-1.1
glances 4.5.5-1
glew 2.3.1-1.1
glfw 1:3.5.1-1.1
glib-networking 1:2.80.1-1.1
glib2 2.88.3-1.1
glibc 2.44+r3+g0b05bc142249-1
glibmm-2.68 2.88.1-1.1
glm 1.0.3-1.1
glslang 1:1.4.357.0-1.1
glu 9.0.3-3.1
glycin 2.1.5-2.1
gmp 6.3.0-3.1
gnome-calculator 50.0-1
gnome-desktop 1:44.5-1.1
gnome-desktop-common 1:44.5-1.1
gnome-text-editor 50.1-1.1
gnulib-l10n 20241231-1
gnupg 2.4.9-2.1
gnutls 3.8.13-2.1
gobject-introspection-runtime 1.86.0-2.1
goverlay 1.8.10-1.1
gperftools 2.18.1-1.1
gpgme 2.1.2-1.1
gpgmepp 2.1.0-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.15-1
grep 3.12-2.1
grim 1.5.0-2.1
groff 1.24.1-1.1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1.1
gssdp 1.6.6-1.1
gssproxy 0.9.2-3.1
gst-libav 1.28.5-4.1
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.5-4.1
gst-plugins-bad 1.28.5-4.1
gst-plugins-bad-libs 1.28.5-4.1
gst-plugins-base-libs 1.28.5-4.1
gst-plugins-ugly 1.28.5-4.1
gstreamer 1.28.5-4.1
gtest 1.17.0-2.1
gtk-update-icon-cache 1:4.22.4-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1.1
gtkmm-4.0 4.22.0-2.1
gtksourceview4 4.8.4-2.1
gtksourceview5 5.20.0-1.1
guile 3.0.11-1.1
gupnp 1:1.6.10-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 14.3.0-1.1
harfbuzz-icu 14.3.0-1.1
hdparm 9.65-3.1
heroic-games-launcher-bin 2.22.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
